"" "W070517001156" "W070517001157" "W070517001159" "W070517001160" "W070517001161" "W070517001162" "W070517102034" "W070517102035" "W070517102036" "W070517102037" "W070517102038" "W070517102051"
"DUSP3" 0.8597639 0.234711 0.9116623 0.7300752 0.5394714 0.5674767 0.488834 1.0621451 0.4874442 0.698446 0.6832112 0.8238647
"DUSP5" 1.254325 1.334647 1.379652 1.880947 2.69464 1.554376 1.243376 1.498782 1.131457 2.365665 1.871673 2.098676
"DUSP6" 218.335583 100.896906 159.66858 218.470812 146.55864 106.90408 77.4232561 126.741724 98.9640546 121.067374 204.727168 237.307268
"DYNC2H1" 0.980586164639 1.4976697 0.544541 0.949305 0.914223 1.622023 2.2159402 1.012653 2.6294905518 2.160576 1.254495 0.775192
"DYSF" 110.557755289875 83.7618800177559 77.4057992405487 91.4987024033081 49.4181813537289 34.432773966154 39.6486430009812 173.652995846215 55.824886 27.027245 74.4743530090163 87.5951003500104
"DZANK1" 0.725519 0.9558244 0.5236556 1.2232111 1.500533277895 0.7542256 0.8841724 0.6065009 0.5394946 1.6234992 1.001722 0.7275998
"E2F3" 7.5136535 4.40616 2.72096 4.92666 2.203279 2.455558 2.59974 7.11188 2.96274543 2.85726 4.05666 4.63527
"EAF2" 10.728643 7.958096 9.244667 11.05079 7.279665 11.714087 17.872549 11.728089 18.98978 20.08396 16.280477 9.12324
"EBF1" 3.241745 5.141463 6.3818567 4.684531 2.07259900035271 5.10259338515 6.6803291 5.13314500294439 6.39614230617741 11.81475 11.4001537 4.22595270149266
"ECT2" 4.8441952 2.004578 3.3741413 3.0091814 1.736595 4.075984 4.943053 3.0504372 8.2536683 4.258822 4.3933258 3.557861
"EDA" 0.890859 1.5199814 0.5676578 3.5584306 0.4510153 0.8864403 1.9880183 0.5358005 0.5092773 0.40000248 1.0874498 1.6885307
"EDEM2" 17.803759 11.9215 12.0819 14.990551 9.7332 11.839851 12.624441 20.0366 10.6154 11.0578 13.689023 14.9552
"EEPD1" 40.332823 39.4626258 29.4302748 29.523475 14.43765536 17.1520175 19.106921 32.5729872 18.7656219 14.288751 32.626493 35.8764023
"EFHD2" 114.27659 80.968844 100.13085 79.65044 65.837358 66.53741 49.38015 92.92222 62.05343 55.5058 85.27519 85.48932
"EGR1" 0.824434 1.04912 0.970565 0.961526 0.902088 0.791915 0.430052 0.589547 0.425382 1.03693 0.982303 0.672999
"EIF5AL1" 0.0281704 0.00744058 0.0296469 0.0364996 0.0114455 0.0254108 0.0327661 0.00677983 0.0143614 0.0226952 0.0283022 0.0305306
"ELOVL6" 0.585383 1.6579963 0.382059 0.663515 0.8286177 3.2363814 0.72471504 0.9834671 1.644807 1.3608334 0.6787851 2.360735
"ELP3" 51.615996 39.0255434 36.5703179 51.9196855 39.0411316 46.334687 55.7001175 47.7758199 42.4481493 58.146745 63.7323859 36.3749861
"EMILIN2" 5.34885 2.78554 2.51258 3.9640786 3.2319886 2.31206 1.90345 2.93133 2.69125 2.1320954 3.15232 3.49324
"EML5" 0.7939432 1.7325465 0.51846896 2.6035807 0.43161 1.6249782 2.6168919 1.511454 1.312393 2.9276847 1.953041 1.0591145
"ENDOG" 0.932257 0.450642 0.486399 0.444469 0.418162 1.13004 0.431555 0.400335 0.413408 0.539638 0.578838 0.573574
"ENHO" 1.07598 0.442615 0.875524 0.253347 0.354324 1.24777 0.478877 0.130924 0.786527 1.27276 1.35615 0.890156
"ENO2" 4.1046125570176 7.8876757 2.993793 11.319356 4.0805073 11.3096574 11.366856 5.53833 5.50327234 6.88872 11.041227 5.5918439
"ENPP4" 2.32411 1.3991 3.01102 3.02552 2.97923 4.38707 5.77591 3.50059 5.49851 7.26187 3.20083 3.65448
"ENPP5" 0.290932 0.729243 0.895721 0.641179 0.87238 1.0290345 1.431 1.20596 0.943441 1.78473 0.884476 1.7110572
"ENTPD5" 5.1690034 6.134559 8.0536621 7.137387 5.3706586 7.2784025 6.482017 6.4796298 5.5485857 9.727507 8.3200614 5.866781
"EOMES" 4.845851 3.464848 3.7323229 4.5328091 8.529708 7.52272 6.081334 4.5598461 7.646339 9.244378 6.586381 6.265023
"EPB41L3" 37.0742424 22.5242522 23.5475432 43.19830528 37.9365681 18.9178099 9.9894824 27.7184474 14.4139344 23.5919958181621 21.83754887 33.0942411
"EPB41L4A" 1.6519427 2.2287515 3.6396499 2.7131032 5.53724518 12.1874853 5.248262 3.8028262 9.772124 7.743643 9.8164769 8.6122941
"EPHA4" 1.773589 5.278899 1.755301 4.4046035 2.89705811 8.50587431 6.597707 5.315434 4.3022795 5.96959 5.1135464 2.3008642
"EPHX2" 6.170952 13.0906886 2.754651 18.603342 3.911346 11.929325 12.573064 14.1887073 4.814814 13.0073839 16.665691 5.616408
"EPOR" 7.9603124 6.4371995 6.659915 6.4112477 4.906642 6.5737453 6.4478706 6.1263079 5.6509934 6.03106 5.981625 6.122558
"EPS8L2" 0.8985336211484 0.7234063 0.6300918 1.7595153 0.30836819598 0.4842146 0.9151808 0.6682054 1.0116884 0.7521967 0.4243962 0.518558800692038
"ERBB2" 4.2480414 3.81973820858037 5.7460922 5.6071618 6.0293175 13.6464002 7.2275403 3.3318576 8.2543567 8.7606175 6.4185663 8.4483933
"ERCC2" 14.90161084 15.4430807 8.4593128 17.655904 12.4187363 12.4194134 11.7482725 10.8890459 9.7260605 13.5160925 17.6324709 10.9900873
"ERCC5" 44.60846 38.221306 26.84322 49.380236 27.7219217 38.9482547 53.49023 49.11816 46.3369076 55.65079 43.9449491 35.69696
"EREG" 0.699701 0.1262672 0 0.0236085 0 0.306063 0.1567347 0 0.1646893 0.0125656 0.0236312 1.0099207
"ERMARD" 10.278977 14.20279 7.29274413469 14.9588250009063 6.9423417 11.630787 14.195506 9.071579 16.039204 18.74265881 12.825006 9.2269
"ERMP1" 9.686412 7.886846 5.6437922 10.901755 6.97304 12.337484 8.302872 10.517045 11.697491 14.88564 9.275502 13.922425
"ESAM" 3.375671 1.7825115 1.57951 2.9449275 2.1721699 2.3848073 1.1111337 1.4741391 0.7369602 1.5994454 2.3115591 1.7874167
"ESCO2" 0.3754391 1.4774788 1.706545 1.146279 1.011633 2.3873235 1.5466686 0.5403857 2.800217 0.961855 0.5102052 1.106926
"ETHE1" 17.7716354 10.6360255 12.0048983 15.464185 11.5403161 15.683423 15.1541978 11.5686556 14.3676539049094 13.17618928 11.8237238 14.8622252
"ETS2" 61.5990781 34.517879 29.856212 44.24858 19.7206238 21.19375 19.79126 43.40274 25.27826 24.09808 40.687216 35.82499
"ETV2" 0.36067178 0.2196240948 0.1340677 0.1720767 0.1518534 0 0.1988427 0.405279 0.2768841 0.4094333 0.2423637 0.2138875
"ETV6" 28.652811 17.519592 20.69008 21.330044 16.108886 12.328219 15.761201 31.161459 16.668043 15.011147 21.280341 21.46337
"EVA1C" 1.5164829 2.5503192 0.88605299 2.9013323 3.2326881 1.9423257 3.2229203 2.4930694 4.0587431 2.7652849 1.7646466 1.606130982409
"EVI5" 17.461915 6.23818925081 6.0606617 9.6664166 7.580916 6.7497666 8.76358 14.114152 10.89122 9.260506 8.882375 10.388929
"EXOC6B" 5.296736 5.2016389 3.620716 9.80760900222278 5.264517 6.965391 11.173407 7.80493 7.4869472 13.626568 7.37941 5.185113
"EXPH5" 0.06379147 0.3394288 0.1121798 0.1368982124353 0.07351505 0.0849181 0.1685148 0.2089223 0.1100781 0.325593 0.2360459 0.1323689
"F11R" 63.3939811 39.351856 45.001664 43.281683 26.854983 23.4150403 21.34654 53.056153 21.801628 17.0825 35.534815 41.343226
"F12" 0.554611 0.269109 0.497581 0.589589 0.13833199 0.3271749 0.3331431 0.271699 0.3379194 0.228549 0.2429821 0.443616
"F13A1" 99.395008 47.555167 64.942894 109.5133201 68.399005 65.390475 24.1319 37.08991 35.568183 57.084119 104.4075154 70.22767
"F2R" 4.97883 4.14498 4.30815 5.42234 5.61495 6.63273 4.2069 2.5816 4.3288 4.95725 6.48386 5.08893
"F5" 43.545938 41.809711 52.372456 77.32757 22.8000899 30.57547 39.698055 69.99718 42.92647 23.226073 41.343499 52.947052
"FADS3" 2.6229956 3.4911838 4.5946975 3.79668903480727 2.6208153 3.5162535 5.858362 3.4554964 4.9005478 5.5977126 7.1400162 2.436941137152
"FAIM" 3.9755459 4.3836914 1.129648 1.2967435205533 1.76892218 3.723572 2.4039161 2.8476527 3.4105596 4.247585 3.568558 4.312228
"FAM102A" 33.2043445 51.43926 11.6271559 77.3022287 12.4481463 50.34077 43.06569728 39.11572537 20.592845 52.9741665 67.16972451 28.4944265
"FAM102B" 3.439312 2.243746 2.8212993 3.8085003 2.992323 2.733826 2.9640632 2.952323 3.4774149 3.2027743 3.3428311 4.892223
"FAM120B" 65.3321143 51.7377683 35.0919601 61.4713582 29.1158473 36.549817 58.2821968 72.213874 45.6596644 55.3553 59.6585785 46.033431
"FAM129B" 3.0488961 2.2075996 2.421724 4.3559940895225 3.1950426 2.660256 2.55321459351 1.796365 2.163052 2.2346618 3.2484178 3.478993
"FAM129C" 1.95626210020689 7.394248201711 8.1955477 3.258811836477 3.4572165687 5.6765757 8.8672157 5.6133262 6.7209119 16.0737819 16.576597 5.7430614
"FAM134B" 5.6756017 3.930253 3.110444 5.8495311 1.8880227 3.479722 8.880005 7.131303096 4.220305 8.336493 6.3138611 6.198538
"FAM13A" 23.735512 15.2663140001048 22.2504631 64.1760641 11.6350545 19.156052075 20.70637595 17.3316461 22.4732943 14.1340217002027 19.9472764 25.5474634
"FAM153B" 5.6777791 10.8047297 3.9264710125599 38.92427185 4.2210243 7.8914789 23.3193148 10.1771481 4.460912 3.8931824 19.941371 7.3885474
"FAM153C" 0.063470051 0.906689745 0.295529 0.42964599 0.00103018 0.085573448 0.36683092 0.9500942 0.4888391 0.394756 0.221703222 0.731494
"FAM169A" 1.286454 0.800746226 1.0465774 2.597854 1.07707 2.812457 3.542961 1.1643366 3.278511 2.699910587 1.715277 1.1082624
"FAM173B" 3.359618 3.100483 4.14458 4.590932 3.967276 4.455512 5.529823 3.7205627 3.7915882 5.83672 4.271887 3.068997
"FAM177B" 0.529363 1.587389163 2.0316131 0.553537 0.444999 1.511386 1.2166696 2.4390734 1.474206 2.1037815 2.920288 2.1518495
"FAM179A" 1.2521185 1.0498493 1.170998 1.08848225 1.900802 2.2152281 1.29147346 0.579471 1.5209113 1.3229065 0.98987599 1.3554718
"FAM198B" 33.272101 6.898652 9.76884200050625 14.361298 11.0741770017756 6.937136 10.8170896 11.485059 19.12515 10.29831 7.7898513 16.4684691
"FAM200A" 1.059181 0.3794018 0.5526661 1.026712 0.6303892 1.277527 1.400871 0.942964 1.582699 0.815192 1.019428 1.104858
"FAM21C" 506.3449993 275.934700000747 250.03926 300.4582323 222.04450322242 200.8643024 324.6422137136 417.0239786147 305.134399 302.3053936 399.3880676876 296.53472179
"FAM26F" 17.87823 1.888062 6.93282 6.212333 12.342745144 3.764794 10.60578 28.74296 14.17755165142 16.0238500124415 8.570912 18.235390159175
"FAM3C" 10.73614 14.013109 9.660944 9.949294 17.287971 28.1601 34.266045 15.97605 21.59567 36.958851 17.58946 17.300246
"FAM41C" 0.11609 0.21767863615 0.0484083 0 0.0111222 0.0167306 0.0906173 0 0.029183 0 0.0262901 0.0279992
"FAM43A" 0.456658 0.455683 0.368451 0.357639 0.274808 0.377727 0.346543 0.181895 0.218453 0.327946 0.38469 0.272627
"FAM46C" 65.8496 141.38 88.0944 104.778 149.825 89.7082 63.2824 96.1046 85.614 118.245 86.1647 71.8365
"FAM50B" 0.313405 0.501797 0.223513 0.355419 0.372208 0.683803 0.329104 0.3491169 0.245769 0.346913 0.545786 0.328533
"FAM84B" 0.0223205 0.0856171 0.0541026 0.0672423 0.0404807 0.0720749 0.0675067 0.0322941 0.0298217 0.151498 0.0518978 0.0455729
"FANCD2" 19.5346797 13.670607 11.097439 19.7781005 8.2112076 13.933991 18.9772379 20.236151 9.053076 18.979658 24.5452486 16.8196525
"FASLG" 2.54757 1.366174 3.304532 1.986007 3.821022 4.751945 3.16256 2.0768923 5.78505 5.32911 2.924063 2.245807
"FBF1" 1.015473 1.88800487 0.61858818 1.46659810007646 1.2884425 1.895088428 1.2101511 0.9404298376 1.1005035 1.082441 1.9964096 1.5081379
"FBLN2" 0.3577398 0.3029900178285 0.3874445 0.1728624 0.0624029 0.27974400320657 0.4300083 0.68203 0.0673751 0.145238 0.39954870417511 0.2718649
"FBLN5" 0.893146 0.5791921 0.0925929 0.9616842 0.2509186 0.8211761 1.62476000022055 0.8322029 1.1627901 0.480194 0.3445851 0.0486144
"FBLN7" 0.1014624 0.5468126 0.1762455 0.4004424 0.10423207 0.18319053 0.4198009 0.484777 0.167302 0.2817047 0.66004926 0.398017
"FBRSL1" 10.1579654 10.0026696 6.7186099 12.4744559 8.858508 9.436374 5.8439688 8.9884934 4.7069752 8.8299375 11.5467913 8.9590263
"FBXL6" 1.5053249 1.3721978 1.3405961 2.03934 1.6655773 1.884634 1.8895634003008 1.0220816 1.1595002 1.4251234 1.58411589 1.79951819
"FBXL8" 0.504123 0.7763774 0.4903464 0.7805053 0.6270478 0.51521077 0.4503379 0.0621305 0.29346808 0.3135374 0.5601872 0.6636142
"FBXW8" 1.8286586 2.895894 1.6336139 2.530363 1.8348342 2.529763 2.2014251 1.9680502 2.3720641 2.6421205 3.2463348 2.1037769
"FCER1A" 23.0523 6.34962 12.2648 14.6032 10.9652 29.4219 46.24069 10.2121 27.9244 20.845322 12.4271 19.5693
"FCER1G" 664.3151 254.17508 326.7624 325.9825 214.60556 272.3611 440.4 528.5002 532.636 405.69449 324.00339 473.4358
"FCER2" 2.008667 2.4959671 4.3033624 2.3245307 2.4761392 4.9442649 7.057985 3.522797 3.043364 7.519475 7.4719529 1.78878
"FCGBP" 2.195501 5.848535 4.4355 9.32404 7.63324 5.419461 4.120907 6.28211 5.755457 12.22183 14.13983 2.572836
"FCGR1A" 108.06695 26.531449 70.17931 32.35726 81.27975 55.86686 31.33234 564.6859 97.52215 47.4031 77.38395 69.65575
"FCGR1B" 241.25658 30.459591 168.34309 50.333327 155.494364045214 133.004518583 59.56803675 950.955213192 165.752599 96.55842 93.5385200042437 171.42614
"FCGR2A" 4446.936713 1874.0452092 2792.3680723 3158.717889 1115.726356 1523.488887 1645.8491801 3307.443342 2009.2625658 1159.245872 2827.163269 2817.07472
"FCGR2B" 17.609611736434 15.7401354676 16.257331 87.5927186008597 12.8499762 23.9156088418593 52.152309 33.40588007264 36.6912784 25.637531 54.3674669 18.625294
"FCGR3A" 133.206911 167.271345 136.63217 196.75528 169.25558 200.230638 110.717243 224.223881 188.353196 159.015262 271.25926 177.95293
"FCGRT" 83.8172204 62.288948 65.4260439 57.7919954686751 33.8844666 31.1912494 33.9303155 63.7761291 33.435937 27.5680316 55.7264797 58.3501568
"FCHSD1" 16.1531009 17.2510712 13.1733207 18.461817 12.9624895 13.803785 13.447381 13.926477 11.3942787 14.156387 15.1610271 14.116159
"FCHSD2" 78.098149 44.9968036 39.999165 62.13685 39.2926675 47.8719507 55.36117 58.200864 47.3325833 62.746234316 61.9052582 56.55997
"FCN1" 507.4214 336.84958 272.26159 369.4076 378.6281 206.14437 232.54886 308.87179 285.664 227.85182 286.35057 372.9006
"FCRL1" 3.13186 10.661239 14.719802 7.848001 4.069434 10.432339 17.743482 12.561122 14.2534 21.629258 22.402029 7.710291
"FCRL2" 1.5977267 3.650839 4.35985 4.612733 2.5857992 5.288359 6.020017 4.994284 7.191514 11.98058 13.087474 3.921613
"FCRL3" 5.636436 7.07947400067306 7.444959 4.2834438 7.6984375 9.088552 10.4867727 8.265891 9.113077 22.40847462 12.231898 7.499249
"FCRL5" 0.7253404 2.7004907 5.443667 1.3103389 3.1358316 1.5020856 9.3070639 2.6479668 3.3686891 4.361871 5.5244092 3.8258925
"FCRL6" 3.8147669 3.0535873 4.293817 3.3562758 12.148981 10.3507513 6.5783196 4.715425 11.527857 15.226478 8.0692141 5.9965344
"FCRLA" 2.1340729 2.208894 3.712659 2.3026186 1.415077 4.2807644 5.3190959 2.571117 3.956262 10.3144299 10.2710534 1.751529
"FDXR" 1.2401832 1.31104000017106 0.6630798 1.1662486227458 1.053130537 0.7271916 1.3004128 0.9171454 0.5234898 1.1140539 1.3753508 1.2116539
"FES" 40.6929074 28.7542417 27.2495032 22.310511 21.370496 16.0857223 16.8241663 30.650002 18.3128401 13.9832162 25.094081 34.048395
"FGD2" 12.0163082 9.252025 9.0167506 10.69072 12.2330565 7.5336947 7.5756893 11.4400041 8.2510219 15.6178324 12.205531 13.9224296
"FGD4" 35.0060727 19.2225728 22.2863508 27.2459457 12.6219597 15.792199042908 21.4135330024 34.744392 25.3392155 20.4047056 20.53960186 28.680119
"FGF22" 0.048728 0.0140175 0.0137328 0.0353547 0.0449542 0.0634062 0.047979 0.0114792 0.0112808 0.0117529 0.02917812 0.0471178
"FGFBP2" 0.701824 0.388519 2.1651 0.959797 2.50352 4.54602 2.78227 0.567968 4.26803 3.5988 2.27162 2.13965
"FGL2" 152.865 67.5363 94.6987 93.1428 90.3281 85.1517 85.5565 192.634 124.977 83.6755 111.75 132.814
"FHIT" 5.9291823 6.6653497 4.5485179 29.236201 1.818807 7.7380509 14.4463437 2.4465089 3.626316 12.551882 8.859848 5.1658485
"FHL2" 1.1377607 1.009834 0.6709102 0.62594829 0.658471 1.10725343 0.9560783 1.3914546 1.478261 1.41749759 0.477495 1.4652835
"FHL3" 16.944518 7.840319 7.485428 18.46056 6.470653 10.29254 7.742404 10.74651 3.384071 7.778929 9.901373 12.43309
"FKBP14" 1.2597797 0.7333571 1.755998 1.673018 1.1826994 1.1561156 1.5684224 2.7309413 1.962086 2.9455314 1.5843832 1.8514534
"FLNB" 6.2227229 11.2113289 3.5921336 7.4384113 3.3616916 6.962031 4.7706812 6.2596666 4.2635234 8.6921350115582 10.3850125 6.01304
"FLT3LG" 13.048236 30.192244343 12.374049 42.6735781 14.602688 34.4261681 29.0208851 28.1130067 19.054879 32.5053320021568 35.4220893 18.5535515
"FLYWCH1" 2.43642510431568 2.3828421 1.7554336 3.6646842040222 1.6283846 2.828432 2.1949904 0.8782974 1.4648522 1.694144 2.0096005 2.127404871003
"FOLR3" 15.249921 9.743446 14.285176 23.385952 6.24415 4.065314 7.443447 17.6916928 4.058684 3.8382154 72.703087 12.768236
"FOS" 59.12813875 27.497017 43.443028 40.10932 10.560759 23.849871 24.0467010551 47.7757597 36.325396 20.180842 35.2627118 41.425476
"FOSB" 0.5964368 0.61047698 0.8352582 0.7089937 0.6357071 0.8117497 0.17092895 0.49187608 0.7367597 0.470556820086623 1.2389833 0.776379
"FOXO4" 27.64427 40.2902614 30.64428 22.638769 24.76242 25.54939 16.96245 20.81184 19.90358 20.94156 30.90346 28.30244
"FPR1" 476.2767 297.2702 309.6706 356.2229 177.0478 184.1945 147.5338 451.7253 209.449374 96.0944 284.0152 341.5316
"FPR2" 307.3182692 145.00884 147.5071346 187.44713 89.9074718 85.0555957 87.4489059 361.377005 125.1052715 47.57687 159.869789 157.5555407
"FRMD4B" 13.972714 12.3664270000918 10.2582665 12.8658145 14.47907676 10.655238 13.6726549 12.37075 14.4335486 13.633325 10.2330344 17.9896839
"FRMPD3" 0.157624800239655 0.180004 0.34982800320398 0.0976911 0.5057056878 0.5927400152614 0.5873150745012 0.256691 0.377916 0.48641900151362 0.52373366 0.2139142140779
"FRS3" 0.79422 0.840929 0.610927 0.96692 0.9326069 0.7973603 0.8501061 0.7849628 1.2640447 1.0908019 0.9519924 1.069907
"FSD1" 0.1737619 0.2752855 0.5141311 0.3972668091483 0.186798 0.4593748 0.4406476349 0.3469732 0.2796214 0.2494777 0.2111058 0.4607426
"FTSJ1" 10.085756 12.262843 9.198315 13.664372 7.930156 12.310002 12.958616 9.9636311 10.4082796 15.410655 12.625831 9.8553383
"FTSJ3" 10.1605044 10.510275 7.413384 14.326832 10.2017238 12.841923 8.67105 10.5398932 7.2078178 10.557566 14.795129 8.965857
"FUT11" 5.02197 4.2507314 4.4874 5.1646454 6.0136408 5.6494108 4.6526343 4.6580025 6.995812 7.7851714 5.5801445 4.8679089
"FUT2" 0.722522 0.7797271 0.4216639 0.945094 0.4482609 0.7699891 1.049719 0.6372373 1.0224068 0.8275471 0.8844166 0.5206993
"FUT7" 12.696 10.5622 12.1707 11.8783 5.47936 9.24823 7.67678 12.3355 8.54485 5.67927 7.33225 13.9894
"FXR2" 15.4301014 11.1400981 7.136107 15.709186 10.5194357 8.3733158 6.9474813 10.2691112 8.5246753 8.144524 13.7702924 12.8815223
"FXYD1" 0.564938 0.4848752 0.4230747 0.371896 0.2657416 0.2661124 0.357483 0.10028 0.4242182 0.412571 0.3650338 0.3182055
"FXYD2" 0.9362575 0.3077005 0.101903 2.822299 0.2975656 2.747655 1.2899805 1.2371829 0.6426423 2.3976378 2.2455131 0.6184718
"FXYD6" 14.4401202 4.9728053 6.4885529 6.34805 5.5151307 6.7571944 7.2053636 5.039191 5.41224120120557 4.1812488 5.0726158 13.2557189
"FXYD7" 1.280343 1.0474208 0.657496 1.674804 0.752718 0.7527902 0.6455725 0.7177129 0.8189111 1.258471 1.846137 1.072879
"FYCO1" 14.84255 12.702541 10.9351 17.73412 12.9134312 16.43142 14.96294 13.86045 13.08159 13.5509687 18.44491 12.46458
"FYN" 77.1161017 71.697733 44.317744 103.877424829 69.4608126 92.2499166 84.6142352 63.2696147 75.4933113 84.620854 87.7231426 66.2782142
"FZD6" 1.2267203772 1.01518 0.733522 1.2457433 0.831909 1.606409 1.63210650615396 1.852136 2.169429 2.541221 1.481211 0.889411
"FZR1" 28.038381 27.133048 16.940283 25.652073 14.709655 18.782143 14.161302 20.1033249 15.049661 22.3953564 24.5810026 18.871869
"GAB2" 134.3494794 67.166156 67.295304 86.00865 43.515737 34.96425270092 51.1988452 112.3527393 51.6324766 39.5359282 66.461124 95.3051421006485
"GABARAPL1" 60.6335903 50.3839088 54.843094 60.8014344 31.972956 37.797722 31.9712740067041 57.2546565 45.995999 26.3474590048733 47.862191 58.9429435468
"GALT" 41.204128717962 52.445501 29.125004 88.074862 30.742398 50.980908 50.6247339 44.9353196 44.0339583 62.4397842 62.773533 44.915162
"GAMT" 0.57042 1.41092 0.8062243 1.0301499 1.3674156 1.1279782 1.94924 0.8825545 0.6613881 1.803718 3.3349985 0.322086
"GAPT" 8.7695488 4.14906 10.2736458 6.7581378 4.71281 9.81644 13.5297275 12.5498431 15.3765797 8.883027 5.499869 8.0693169
"GAS7" 43.5327266 18.02740865 30.1088724060834 26.8182605 26.7355685001754 21.2529942 14.7703481 34.5710335 22.6951698 19.5847537 37.9675487 26.3131747
"GAS8" 2.0406399 2.196575 1.5681887 2.00673203 1.3415683 1.6663331 1.7154885 2.7774394 1.5357118 2.0109483969 4.0829266 1.5341306
"GATA3" 13.36598 18.93455 9.62136 29.46987 12.79876 30.62939 23.82868 16.10464 17.58863 26.17831 36.16684 16.19815
"GATM" 1.75069 2.4203248 1.1732465 2.6114104 1.1651857 1.126973 2.0244715 0.613285 2.100143 2.931757 4.3111967 0.7767179
"GBA2" 39.533498 37.71547 26.83026 37.6705802 27.93363 22.342365 25.850491 26.602179 24.011136 28.608683 34.5303258 39.49935
"GBP5" 61.940145 45.600449 66.343321 61.066732 189.216904 73.529296 45.833663 526.599082 78.61102 63.762877 119.48806 107.056969
"GCA" 416.25954 153.73642 233.6318006 182.446585 94.4902488 122.19414085964 245.5988215 445.642624 309.482947 133.2018856 146.81096 232.654186
"GCAT" 1.374011 1.828116 0.6930075 0.6656573 0.7361616 0.9034779 1.198761 0.5249942 0.995347 1.0690692 1.4101686 0.901089
"GCHFR" 0.422239 0.2539834 0.116809 0.456897 0.240427 0.554609 0.3483295 0.237291 0.433033 0.939638 0.245066 0.395069
"GCN1L1" 22.373812 30.760678 10.349802 39.1326067 20.532257 22.257318 26.305733 23.235027 24.491425 29.294636 33.9862255 25.999868
"GCSAM" 3.1384976868 4.731869 2.57953 6.251369 2.395035 5.676911 6.964799 3.891533 3.3158439 8.680347 6.781468 3.6215122
"GFI1" 0.822271 2.209132 1.5684919 2.381362 3.946252 2.735916 3.058339 1.9329208 2.700142 3.972227 3.292319 3.0333242
"GFOD1" 0.886761 0.9533543 0.958788 0.9209645 0.767266 1.25670387682316 0.54947099 0.650343 0.2011172 0.9897969 0.8086749 1.344866
"GGA1" 12.3205273 10.5793135 7.8206574 13.0912725 9.56985076 10.5899863 10.9643243 11.1884174 7.9602606 12.207481 16.1661085 13.1038321
"GGH" 1.329737 0.5531042 0.106659 0.942934 0.189411 1.4057911 1.278364 0.6805102 1.367974 1.0776963 0.70282 0.54258738
"GIGYF2" 126.688205593632 89.7372221226874 76.2228901720022 116.459626575717 74.502173758843 81.734696 86.0916175466901 102.04638052 91.084574739 111.978548304515 119.559898006846 96.6259286481089
"GIMAP5" 108.628724 108.569562 47.3871005 137.395581 54.62129 114.341344 155.94426 114.339957 100.48521 145.97725 153.36118 68.93584
"GIMAP7" 46.0692 37.0249 20.4291 51.7779 34.7816 93.5968 108.77 76.5192 84.0222 83.8603 76.7735 47.1622
"GIN1" 4.992509 2.09931 0.836134 4.578882 3.024919 3.026013 7.406035 4.10122 3.762227 4.128585 1.8930557 2.829128
"GIPC1" 1.3502346 3.56252 0.63973955 1.9116614 1.082117 3.7059729 1.41254411 1.4451825 1.0552651 2.331576 3.3878225 2.0784586
"GK5" 20.79971 16.097549 16.435447 18.0532282 19.687747 27.212828 34.878841 13.5218113 27.1854097 37.110613 17.883235 23.36668
"GKAP1" 2.971626 2.113111 0.9843 2.815852 1.598329 2.279512 3.3762676 3.1944169 2.92082 2.113843 2.21590310117 2.6236
"GLA" 26.60095 12.400619 15.415367 22.753847 9.5958559 12.655017 14.628977 22.722833 18.62618 16.132855 14.5038749 28.211547
"GLB1L2" 0.33226925 0.1849392 0.492894 0.331801 1.6287869 0.22151678 0.612448 0.1456378 1.9535988 2.50109431 1.1778388 0.1173832
"GLCCI1" 25.013478 31.699604 19.755713 26.750402 17.021113 30.480723 28.2016284 29.6292251 17.741893 29.530575 29.0238848 22.3789923
"GLE1" 19.79202 15.464727 14.8740706 19.5807 12.39441 12.8007477 15.101134 19.828244 13.42194 14.998737 20.997734 16.017766
"GLT1D1" 82.289489 52.9770557 54.06728 58.72162 20.945239 26.071325 34.775911 73.581929 37.99276 24.8866081 44.2026879 54.61515
"GNA15" 4.60928 2.55436 2.4212075 3.0070375 2.34826 1.85564 1.9843228 1.89941 1.87653 1.8997457 2.5212951 2.81159
"GNAQ" 31.3559 17.75309 18.87779 25.0763 14.26863 13.39441 14.28554 25.9458 14.30363 11.74497 19.73307 25.8246
"GNB4" 23.921071 16.815643 19.42542 17.801163 14.185196 15.632665 16.384333 42.23148 20.859692 16.228511 18.787334 23.868416
"GNG11" 1.49255 0.544062 0.519389 0.710987 0.923098 1.15821 0.965234 0.700646 1.14934 1.22183 0.824552 1.22313
"GNG7" 0.214336 0.250322 0.255724 0.254437 0.1442976 0.160776 0.190556 0.180266 0.160036 0.2760371 0.4148854 0.230751
"GNGT2" 3.057274 2.2568165 2.837839 3.182416 2.7565249 2.83932157 3.065418 2.5319659 2.66297 4.017078 3.10913 2.860809
"GNLY" 77.932674 145.431024 85.9404 84.617285 105.233044 54.6373267 112.503696 62.0107878 103.8431362 240.272571 68.9634391 170.9047704
"GNPTAB" 57.400619 44.240413 47.858628 46.908223 46.659165 44.574632 45.858282 44.363293 50.944943 50.438486 48.859279 55.368859
"GNS" 160.368065 94.084239 85.502231 130.53508 82.2985334 54.020718 69.787803 141.160408 88.710952 64.317022 104.3582613 115.718446
