"" "W070517001156" "W070517001157" "W070517001159" "W070517001160" "W070517001161" "W070517001162" "W070517102034" "W070517102035" "W070517102036" "W070517102037" "W070517102038" "W070517102051"
"ACTL10" 0.0076882 0.0655665 0.0931645 0.0182944 0.043954 0.0252469 0.045169 0.0180101 0.0203748 0.0215206 0.0865054 0.0582546
"ACTN1" 124.3308662 113.646760201215 78.9843073 115.836037694031 58.9110522147026 53.857166 45.1661695000662 109.946613099517 41.648543904 40.608174 94.8558807 101.0015756
"ACVR1B" 8.440341 6.32767294 6.4585438 7.9846537 5.36952038 3.5422272 4.3266609 7.6932371 4.9793942 4.5812861 4.9943654 8.79516455
"ACVR1C" 0.2853139 1.220237 0.227907 1.14442 0.2465105 0.790058 1.50632679 0.7297154 0.595527 0.971892 0.924973 0.263717
"ACVR2A" 3.517518 4.066021 2.530713 6.135035 5.7021356 6.60328 10.7576453 4.979489 8.577656 8.1234725 4.954778 4.0861259
"ADA" 13.530841 16.269483 16.227861 14.085311 13.884702 18.399754 16.3674465 13.446308 15.651605 22.195803 19.896288 16.491797
"ADAM19" 32.935334 31.199669 28.339824 27.551457 13.7246404 18.604705 24.265536 35.881585 21.10555 19.3717647 27.990799 30.41248
"ADAM22" 1.173486541 2.4414635 1.2840636 2.0745999 1.7234035 3.6363842 5.3972696185848 2.07473785 5.0438677 4.181087 2.501657 3.1251099
"ADAM23" 0.856318 1.9760013 0.421728 1.0223887 0.47407805 2.4011236 1.1739442 1.9332 1.922058 4.4924971 0.915818 1.45247945
"ADAM28" 33.659542 23.7829538 36.449741 27.689593 19.092889 28.1989774 49.427333 30.987964 38.246348 79.776885 54.852836 35.000272
"ADAM9" 40.244166 15.1650837 17.7037438 19.329254 16.003988 13.8593216 23.581219 24.8778264 25.1437004 18.6515972 15.7489482 27.943336
"ADAMTS1" 2.572551 4.439501 3.011955 4.488277 2.2243027 4.2852112 4.246297 1.2562212 1.8193844 3.2827661 6.3305826 6.3004555
"ADAMTS10" 2.0672857 4.4487404 2.4398641 4.9255739 2.8182865 4.5171141 3.7827179 3.370811 3.8744671 6.2877231 2.00767795 3.3701009
"ADAMTS17" 0.95279006 1.92094616 1.0264963 3.988698 1.1045364 3.9021468 4.3664816 2.4452462 1.5496896 3.204287 3.5962266 2.777002
"ADAMTSL4" 20.3772640000843 16.539748 16.5355730003603 20.7823920000312 15.321505 10.858208 8.3137312 21.28147 11.271708 9.791299 22.086998 23.250822
"ADAP2" 15.8619473 6.8343949 8.3941813 11.513302 12.1042851 6.31622200071507 6.724823 9.5339841 9.9133693 12.0799331 11.2940337 10.1818804
"ADARB1" 4.36669280005033 6.7819028 5.1541002 9.7503333 3.41193063397 6.70604075628 9.11368641 4.2096697 5.6071247 7.63684237 14.1748179 9.1700706
"ADAT1" 18.792801 11.9785441 10.1703646 16.9501302 10.6212418 16.811868 13.6764185 13.536579 16.3274828 12.3892183 15.8446495 13.813319
"ADCK2" 2.414404 3.438589 5.525422 5.508869 2.9897810744322 5.752557 5.093222 4.797639 3.70647777 5.2150205 5.462239 3.794478
"ADCK3" 31.6960695 29.7188805 21.2064788 26.439072 15.1121077 17.321462 13.0889837 17.0505184 9.41277538 14.9042272 25.0674386 21.122771
"ADCK5" 1.0586328 1.421181 0.810419 1.465399973 1.353817 0.834899 1.312527 0.8533116 0.9574685 1.1957934 0.96968 1.509445
"ADHFE1" 9.5823219154 11.214792 6.5277239 14.194435 8.78942192201 10.8363870007894 15.553834252823 8.85303 9.91008961644 11.61486 11.022532 10.742015
"ADK" 44.9358981 46.942676 39.2164603 46.687807 24.45464 31.050614 59.822992 34.837891 41.255057 68.325134 52.272546 36.901898
"ADM" 8.5090804 5.5560244 8.4159772 6.8018332 2.4077515 5.3114737 4.915699 15.9751206 7.6973823 4.4385653 3.8145982 4.862048
"ADORA3" 12.0847067 4.664007 8.295959 7.283141 3.396231 7.047094 4.9221132 5.2415422 2.81727933 2.000631335466 6.178474 15.566869
"ADPRHL2" 1.77074 2.11897 1.38495 1.89093 1.4553 1.39245 1.58187 2.72342 1.66234 2.08286 2.66941 2.11824
"ADRB2" 14.403 10.4997 11.233 10.0763 14.8923 13.2497 16.3288 14.7186 20.7307 21.6694 13.8911 11.6734
"ADRBK2" 68.869765 29.169677 30.582916 36.902799 37.295023 20.953075 34.075583 47.84909 36.045855 55.562456 36.225374 41.4283
"ADTRP" 1.4440804 3.44486 1.5592653 7.2751888 0.7318577 0.9904101 6.91849 2.935689 2.8696565 3.9984558 4.8910736 2.5079245
"AFF1" 193.126203 160.390532 169.406545 198.23827 141.228834 144.978212 138.81788 352.256259 164.521943 153.35339 247.7441642 166.64373
"AFF3" 27.5243935 33.7164381 45.6547386 34.5290895 20.23348415 43.7890534 59.33034807 38.6024684 44.8965388 95.7527571 91.3065423 36.2618841
"AGAP2" 12.305183 13.75901 9.68964 16.66363 8.652659 11.31814 9.7186 13.48722 10.304058 11.931071 15.68915 10.602389
"AGK" 12.853964 12.947209 8.503641 13.3187351 11.247407 18.081841 17.5963553 9.695662 12.199743 17.45893 14.1854008 15.4502497
"AGMAT" 0.272205 1.38522 0.355988 1.07859 0.197995 1.1652 0.79197 0.681638 0.475564 0.990063 0.897353 0.45936
"AGO4" 72.43287 51.99418 53.18077 65.2091 39.95751 28.2227 33.39702 60.15098 41.03036 32.95897 54.45937 54.00562
"AGPAT9" 40.67587079464 19.3093170005174 28.671619356151 31.3334240705984 12.247328 11.0458847954626 22.719122515219 41.2262617621997 27.2767930075382 12.4963875479196 23.1343127782 27.5002549616394
"AHI1" 2.85723440011117 2.0291854908909 2.9735809 4.907862 1.6198923 4.393211 6.9548155 2.8834711 5.1247813 9.2059309 3.6710201 4.225273
"AHR" 50.3917389 23.7668769 22.247753 31.8544143 19.196339 22.262843 24.03905 20.145379 30.5002749 31.394193 27.0620988 37.8344696
"AHSA2" 21.9981633 16.88739 16.0086313 22.0758446 15.2519517 20.865439 24.7305047 24.9064292 18.683386 28.718531 23.2709925 20.479193
"AIF1" 112.921658 33.03205 47.653312 31.1417 37.534387 51.3951268 96.171738 108.338391 100.42922 69.279412 65.0126944 52.6432014
"AIM2" 4.51522 2.424331 3.230561 4.15995 6.408147 6.7717794 4.871557 23.16698 6.213776 4.9827 4.570988 4.687766
"AK1" 27.177492 33.47128 43.27061 35.258789 33.779635 49.3467 39.27184 18.150642 42.34873 33.603459 34.84293 27.39682
"AK5" 5.8882000122262 8.9550747 2.11359359 11.462929 0.935603 10.819438 11.333779 9.804697 3.8365795 9.022011 11.64839 4.967694
"AKAP5" 1.2224003 0.7503679 0.789764 1.077571 0.6155578 0.9363191 2.1267355 0.8190744 0.8592242 1.4246733 0.934573 0.946671
"AKR1C3" 3.1741461 2.2100567 9.506341 3.161453 1.859391 16.905897 10.757273 4.9510532 6.52768 10.980802 6.0580072 12.009113
"AL590822.1" 0 0 0 0 0 0 0 0 0 0 0 0.720535
"AL928742.12" 0 0 0 0 0.0541458 0 0.158133 0 0 0 0 0.2452827
"AL928768.3" 0.0729062 0 0 0.160945 0 0 0 0 0 0 0 0
"ALDH1A1" 40.67657 12.70133387 14.700549 26.68609 24.588091 14.32667 14.2242200126943 27.109896 21.421276 21.33299 32.19688 38.431792
"ALDH2" 17.009964 9.944204 8.622641 14.69386 12.885132 8.196259 4.916329 7.905659 7.37429 7.124526 9.891178 12.147972
"ALDH3B1" 9.5247252 6.6141191 8.4163218 10.0272087 8.3042738 6.8233638 4.07332079 5.1077303 2.7132836 4.796510363 6.53581532 8.8698618
"ALDH5A1" 20.5585829 54.6905748 21.4193979 28.40079 26.6543788 31.1567617 27.2578252 30.975637 21.8915757 63.1420528 27.2081364 31.3812431
"ALG1" 16.7779 21.893507 15.711119 22.9757118 13.483315 25.20066 23.4045806 17.54352 15.450643 23.0348847 23.070333 18.511438
"ALG11" 7.5764916 6.2506653 4.876306 6.2437917 4.1315508 7.8030337 9.753723 9.88781 10.535828 7.3032796 12.444154 7.2462724
"ALG12" 14.345377 11.481114 10.013422 16.92968 8.127025 9.607195 11.59786 13.805677 8.262779 11.935156 17.176144 10.75446
"ALG6" 31.722583 23.19 23.712958 28.547043 16.483968 27.775665 43.625545 31.128167 33.777239 39.53312 25.300753 23.037
"ALKBH2" 0.987901 0.8018325 0.4930394 0.968231 0.784518 0.848396 1.64745 0.624169 0.844339 1.25523 1.1406517 0.9509588
"ALOX15B" 0.20751508 0.7475347 0.00622341 0.3543403 0.1551584 0.1053542 0.0936927 0.14457759 0.0607957 0.0737624 0.0711243 0.1644012
"ALOX5" 160.4876222 117.638559 115.24876 124.893862 74.171777 64.334156 80.2380958 159.980508 90.3692801 69.315518 118.534349 118.002729
"ALYREF" 9.050498 8.4428740192959 8.59533 9.618862 7.4788626 6.38524 6.390363 6.861928 6.125789 7.661897 9.954413 8.9046966
"AMICA1" 820.919 533.571756 507.56969 555.581867 292.890982 286.165077 420.8365643 735.09994 448.783277 252.551392 438.9437028 666.746736
"AMIGO2" 0.7820657 1.1471976 0.472316 0.767486 0.827922 1.23204 0.828168 1.1691 0.9055431 1.5062 0.991528 0.904514
"AMN1" 35.598159 22.69606 25.518869 37.352778 16.405549 28.725155 39.272264 56.04573 32.978939 30.899152 29.796778 24.636205
"ANGPT2" 1.5862245 2.424963 1.916069 2.691369 2.14013423 2.563955 2.1852169 2.3169535 2.18148 3.585619 2.7586687 2.5885232
"ANK1" 22.257857314713 37.8855088738848 17.743229 16.6549151 37.4739287 27.0992942 13.5213459 15.050721 23.3335044 24.4938218 19.48389 14.4156073
"ANK3" 4.7136321 10.5271178 2.64309345 11.5445534 6.8308832 9.5294455 8.5636807 9.1750539 5.7317202 16.152638 4.0874188 6.7691948
"ANKEF1" 0.5713902 1.13393 0.402598 1.414583 0.6899939 1.31342 0.772743 1.45741 1.30160263582 1.50099 1.6060869 0.6668123
"ANKH" 74.092616 116.104111 49.267203 119.373415 67.694233 86.369385 86.707551 83.894329 71.139597 126.414318 94.198011 75.608421
"ANKRD13C" 13.392006 10.223822 6.070753 13.364175 11.43977 17.421486 18.87855 11.911314 16.19954 16.00249 8.975779 8.77725
"ANKRD35" 0.0254897 0.0125763 0.0251294 0.0717685 0.0199897 0.115715 0.0671713 0.0405219 0.0668748 0.0312814 0.0376613 0.0353571
"ANKRD36C" 42.334682 37.666738 24.6160139064 64.080642 31.55674293636 73.59084473 108.73732 55.3344181607 79.74867 94.9311528 52.190475 56.371859523
"ANKRD55" 1.6279476 3.7750418 1.999363 4.430931 0.6268534 2.9141154 3.193021 3.46367 1.408353 1.467706 3.022782 2.43713
"ANKS1A" 8.53898 10.1302 6.05069 9.06343 5.18061 5.1131 5.09335 9.12235 4.79357 5.23729 8.48063 6.7043
"ANO10" 39.3657485 17.222096566 14.840184 24.573501 17.335488 16.43354354 24.100904 22.250478 25.504231 19.89079 17.759591 20.3437168
"ANO6" 46.716928 30.32448 31.592036 46.358308 28.880781 32.838609 23.928902 31.093498 31.848789 36.667209 42.409198 31.570613
"ANO9" 1.2860565 2.5642764 1.3546682 4.3580376 1.639265 3.0340761 3.0668997 1.8058677 2.0627991 2.486135 3.0792255 1.7676588
"ANPEP" 121.13537 104.6764038 102.5416873 104.267063 42.7426634 67.127688 39.0560702 99.664465 40.157736 30.7668 77.613289 79.930552
"ANTXR2" 72.103501 37.224838 46.662064 50.263914 24.503362 25.6050333 40.828397 58.239545 43.662991 32.790808 51.182252 51.253349
"AOAH" 327.02412 148.304883 150.48626 166.6283647049 183.0154 194.976573 149.88148163 252.21522 228.23893 137.2489 153.93553 256.539948179
"AP000476.1" 0.0207082 0.0285702 0.0181028 0.0643811 0.100479 0.0228121 0 0.0155299 0.0306524 0.0150108 0 0.0487048
"AP000783.1" 0.610728 1.192368 0.988194 1.291416 1.34092 1.26071 0.364269 2.436414 1.001461 0.696506 1.129189 1.645053
"AP001189.4" 0.0422232 0.0131401 0.051411 0.0354068 0.0198919 0.0600537 0 0 0.0266544 0.0137862 0.0306013 0.0371645
"AP003774.6" 0.0709424 0.026515 0.0261559 0 0.0418655 0 0.0402259 0.0479243 0 0 0 0
"AP1AR" 4.04692 1.9581437 2.758318 3.568537 1.786551 1.529802 7.932983 3.8019469 4.616703 5.3775074 2.6720499 1.981576
"AP1S3" 2.0874349 1.3665838 1.956140114478 2.6999782 1.8179216 3.167927 4.858253 2.5549355 1.5923148 3.425651 2.6041486 3.0043102
"AP3M2" 7.2093892 11.1306976 5.2251556 17.37409239 5.088806 9.617554 15.921188 10.3866201294742 13.4726398 15.3069189 13.8228818 8.678992
"AP5S1" 0.7616018 0.6982603 0.2923128273 0.80348607 0.36206318 0.5190121 0.34340316 0.3308861 0.376055 0.687969 0.45954 0.3837255
"APBA2" 7.799671 19.770273 4.644067 16.858845 9.8501311 12.287327 13.897947 11.305133 6.465117 14.74537 15.8964975 8.574878
"APBA3" 4.9426164 4.2392907 3.3930215 4.6666091 2.6635001 4.3034655 4.5814303 3.4539727 4.067395 2.8753654 5.699267 5.1652531
"APITD1" 0.277871 0.622186 0.414228 0.836253 0.5425812 1.201751 1.57794 0.374294 0.3549721 1.130119 0.929419 0.3351059
"APLP1" 0.2383656 0.1512886 0.0343192 0.1072507 0 0.2402867 0 0.0113163 0.0287772 0.035114 0.1908852 0.13808910139667
"APLP2" 291.9941119 171.454897 135.9742951 174.5666191 97.9721174 100.057673 105.3079416 193.6308078 123.479758 101.3572702 212.7055086 170.311231
"APMAP" 39.6462 38.8454 36.3249 41.4216 22.7497 27.4746 33.8361 57.7512 33.1062 20.56513 29.547 38.8016
"APOBEC3A" 200.820797 112.1640379 190.433593 203.18505 124.143573 77.38488 126.816453 280.126803 80.81336 75.32003 131.426209 218.171333
"APOBEC3D" 8.39916 15.763706 13.4847961 14.48795 14.07023 21.77081 13.98658 15.11116 12.804996 20.092968 23.77652 11.73132
"APOBEC3H" 1.283804 0.973396 1.112646 2.023454 1.5262396 2.058085 0.738122 0.6349940559072 1.871798 1.770701 1.5981566 1.617606
"APOL2" 32.9674049 24.1477482 21.6179895 26.7063 26.126866 24.68372911 17.9270141 82.9098749 26.090802 15.7041227 31.71547797 28.944271774
"AQP3" 8.3911651 17.380017 4.8639585 24.262581 5.2381703 25.780968 13.145374 11.108104 6.9573917 16.308588 18.443514 12.6603164
"AQP9" 293.278035 159.52077 196.706633 197.78207 64.823796 98.1277071 109.511023 319.6873 157.11427 77.164 156.25514 189.236758
"AREG" 1.19536 2.613679 9.98541 2.58836 0.14818906 0.730969 12.684201 1.05524 0.614551 0.74444 2.1343131 27.40043
"ARHGAP11B" 15.3897266 10.4249809 8.4497692 14.575919 10.7647386 10.3370091 13.128421 11.540084 14.8356127 17.263663 20.8567649 12.884595
"ARHGAP18" 8.75043 4.56289 5.5745552 6.21254 4.99195 8.921114 5.965401 6.75115 7.54557 6.28633 7.2586 6.30537
"ARHGAP21" 6.98461360054702 4.883195 3.94499266 11.741925 7.2172433 7.3538846 7.826741 6.69745239996 6.17826 8.1989899 8.7658638 9.9147740154849
"ARHGAP24" 23.685275 23.3209286 24.929483 28.228335 17.675796 8.284016 29.537206 20.689880657 22.4489992 11.6089232 23.205652 23.3734451
"ARHGAP29" 0.835005 0.583005 0.36894613 0.3018978 0.5570846 0.40841 0.40254099 0.2802968 0.5280579 0.3564177 0.1405544 0.6840715
"ARHGEF19" 0.4970745 0.46165511 0.0760116 0.5207759 0.2836482 0.5682494 0.7262826 0.3663064 0.65923461 0.3799138 0.6196564 0.216779
"ARHGEF40" 19.49505 11.706491 16.562205 14.552795 4.614685 7.402913 5.12161 10.516918 7.804541 5.968255 14.619853 13.442468
"ARID3B" 9.783397 8.963361 6.010999 7.60607 4.087116 5.989965 4.668342 9.114046 5.398014 5.817822 9.01283 6.549001
"ARL11" 2.27225 1.43809 2.65456 1.38423 1.455856 1.07767 1.34816 3.39901 1.65406 1.10982 1.49628 1.57005
"ARL17A" 13.264063 20.6379401 6.5132886 11.727704 5.6403319 10.52785 7.8070148 30.926767 14.6438352 12.859982 12.969705 18.1845057
"ARL17B" 81.202581 130.9227141 37.068951 86.58371 34.1539374 66.392551 51.0415389 150.400543 87.1061772 91.953236 77.3372967 113.7708397
