"" "T cells CD8" "Monocytes" "T cells CD4" "NKT cells" "B cells" "NK cells"
"ACSM3" -0.090323521069487 -0.0940780333385676 -0.0814646668193478 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ACTL10" -0.0711212384197883 -0.0936888345305227 -0.0870046008194491 -0.0770333727970326 -0.09641978855325 -0.09641978855325
"ACTN1" -0.0698573959388657 0.152688788314542 -0.03516511897088 -0.0727659635456639 -0.09641978855325 -0.0222821462955482
"ACVR1B" -0.0937635389030754 -0.0484963423175957 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ACVR1C" -0.09641978855325 -0.09641978855325 -0.0742374195107687 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ACVR2A" -0.0909658740097681 -0.0925573203485451 -0.0537076908672512 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ADA" 0.0703589701398549 -0.0783176498837824 -0.0297157754123394 0.121063347953359 -0.0813624271004515 0.267149587169012
"ADAM19" -0.0800336797239857 -0.0354798490631067 -0.0633634599703196 -0.09641978855325 -0.00398577038600643 -0.09641978855325
"ADAM22" -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0792198815259788 -0.09641978855325 -0.09641978855325
"ADAM23" -0.09641978855325 -0.09641978855325 -0.0798099324970173 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ADAM28" -0.0881770397397873 -0.0861375325186928 -0.09641978855325 -0.09641978855325 0.418895832468103 -0.0712024676503326
"ADAM9" -0.09641978855325 -0.0255454437703484 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.0720710452114573
"ADAMTS1" -0.09641978855325 -0.09641978855325 -0.0911072503406188 -0.0695759275858019 -0.09641978855325 -0.0203333802111661
"ADAMTS10" -0.0876826717223984 -0.0942600722710421 -0.0891712673563853 -0.09641978855325 -0.09641978855325 -0.0525622357502578
"ADAMTS17" -0.09641978855325 -0.09641978855325 -0.0836553798634355 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ADAMTSL4" -0.09641978855325 -0.0504130281288864 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ADAP2" -0.0922646006603962 0.00252946364779374 -0.09641978855325 -0.09641978855325 -0.057582076131323 -0.0836295249694706
"ADARB1" -0.0719159604698197 -0.0917568419078712 -0.0454427357508439 -0.072252979294304 0.053608339214143 -0.09641978855325
"ADAT1" 0.00652867540035726 -0.0640513742212091 -0.0766014770459206 -0.0729658881521252 -0.0784697367795891 -0.0532840983214833
"ADCK2" -0.0900733128790073 -0.0824765905374134 -0.0713533350990848 -0.09641978855325 -0.0589705070110084 0.0182233609009832
"ADCK3" -0.051887167189253 -0.0523611704680495 -0.0749061300201854 -0.0379488259457824 -0.0804022475295485 0.0881725865399234
"ADCK5" -0.0917624203467684 -0.0764452694854103 -0.0910386085165283 -0.0564034523022942 -0.0234342006811005 -0.09641978855325
"ADHFE1" -0.0556374840203145 -0.089505726632441 -0.09641978855325 -0.0613725287661308 -0.09641978855325 -0.0625128764777274
"ADK" -0.0485874101570555 -0.0752642210402645 -0.052584929911662 -0.0792282391095683 0.0494349271412924 -0.09641978855325
"ADM" -0.09641978855325 -0.0568887174727409 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ADORA3" -0.09641978855325 -0.0698553815960563 -0.09641978855325 -0.09641978855325 -0.09641978855325 -0.09641978855325
"ADPRHL2" -0.059350749949632 -0.0737479544971089 -0.0768265756097739 -0.00373750278127617 -0.0877968813815516 0.0504552683369961
"ADRB2" 0.00739580391011891 -0.0775112587682097 -0.0860175012728897 0.213309359549222 -0.09641978855325 0.184772415078627
"ADRBK2" -0.0724848687399406 0.130402711598089 -0.0692529947119361 -0.0792282391095683 0.131784023020103 -0.0658765809445715
"ADTRP" -0.09641978855325 -0.09641978855325 0.0341303565699054 -0.09641978855325 -0.09641978855325 -0.09641978855325
