NAME	T cells CD8	Monocytes	T cells CD4	NKT cells	B cells	NK cells
ADRB2	36.7839553546021	7.51753719835285	4.58554023334695	107.759820415498	1	97.9234873304382
ADRBK2	9.25007189857011	79.182920563678	10.3640590481461	6.92571523382873	79.6590415883072	11.5278672646495
ADTRP	1	1	45.9990261941835	1	1	1
AF131215.5	3.10130827453172	1	4.67738993571922	9.33000133280022	18.9935370823369	1
AFF1	5.26032827103042	22.4655742591711	14.4593823444429	1	1	32.2141590382973
AFF3	2.9112464484453	5.60162471713931	8.8004454038904	6.92571523382873	53.1286528499526	1
AGAP2	23.5865836782141	2.93181080477533	7.10191072842269	11.5324522680021	1	1
AGK	15.99764994351	4.39385037790667	14.2220368437975	20.7580476842179	10.1722082091264	54.6029480256284
AGMAT	4.94377301021499	1.63786331099536	11.359636643928	1	1	1
AGO4	27.2421650258858	45.4936595150411	3.53055646936762	1	1	22.3091935450237
AGPAT9	3.90689487888935	36.7515868018214	3.09436364854902	1	8.5258701787394	1
AHI1	5.30509335594942	1	8.77713624077679	1	23.8210562951645	1
AHR	8.30866879136377	86.1875932168584	8.72447317726428	13.4065923243494	6.52104899930988	14.225938711
AHSA2	28.9242249877866	13.033127747783	7.96547198507335	1	23.7926317012526	1
AIF1	94.7728992036119	1311.37914665632	141.020848436127	49.0275475823823	35.624856185685	53.5872051316187
AIM2	11.7111713101033	1.46199875445136	1	1	42.5461248599197	1
AK1	12.8757556168023	3.51101921153239	26.6735562826268	14.8603826248372	1	1
AK5	1	1	11.1869118295097	1	1	1
AKAP5	6.70283948785492	1.34094411516819	3.31493270490627	1	1	25.0508454863895
AKR1C3	1	2.59314565015477	6.24894410243657	5.9735407631401	7.18716163959784	121.825574217384
AL590822.1	2.65389856970852	1.89833619153965	3.68542886298942	8.91120463913039	1	13.0957011877979
AL627309.1	1	23.7520500281463	1	1	1	19.9836171384095
AL928742.12	1	1	1	1	26.368253888214	1
AL928768.3	3.35404896421846	2.18824822505421	2.18217842382515	9.26227774472866	172.986707130607	1
ALDH1A1	1.63177100575417	80.0525220536904	1	5.07659099154922	1	1
ALDH2	19.7639000564668	175.618076460485	8.14244900291412	10.775648858693	1	11.673497705198
ALDH3B1	3.77063753648612	51.3402262346552	1	1	1	5.408646237
ALDH5A1	1	1	1	1	1	12.6872947418861
ALG1	10.006712037231	3.07150042522134	9.63481064660074	7.41679660679795	20.2061449204306	1
ALG11	3.95867485786156	2.37823319994594	6.41737931299427	15.667562360551	1	17.0960612938014
ALG12	14.7794439466246	6.32123667752631	4.91209008875143	10.176163996403	1	32.5002746403461
ALG6	10.4470327977772	6.82873602041338	10.7558009436928	15.0926432833171	15.0548137737175	51.3092297451458
ALKBH2	7.70537910806157	3.31747972342425	6.23809397780195	1	40.3728260081654	28.2049506270459
ALOX15B	1.65623170754115	10.9682950984826	1	1	1	1
ALOX5	16.7704624843548	116.96937857464	1	5.88782442934649	88.1393946336434	1
ALYREF	8.70094837339441	9.89898391877485	5.88820831686945	19.0505296021095	1	1
AMICA1	47.1042346331102	264.272760270027	35.2614041515331	1	32.1405216037369	13.6449426551851
AMIGO2	3.71186440677966	2.25709500086221	3.45107651280442	7.4558612764529	1	1
AMN1	6.50925668836565	6.17231003809957	8.76881846658212	9.27910519431061	41.7246973708018	1
ANGPT2	23.0299498695208	1.97932546020952	18.831669079459	9.33000133280022	14.3155792276964	1
ANK1	1	1.64645628824193	2.33118568709149	1	45.7996832643952	1
ANK3	3.83935068537452	1	20.2337333124053	1	7.6934404283802	1
ANKEF1	3.62777558796479	1	3.82711086232536	1	1	23.2177786664889
ANKH	9.75476989089042	2.71314720559994	28.3084776454007	14.8312860976604	8.642338555598	1
ANKRD13C	10.4135699042107	9.03807938643699	3.31493270490627	15.434134264463	1	57.2445513090919
ANKRD35	3.5688318494048	2.29344238727133	3.31493270490627	19.0089545349393	1	1
ANKRD36C	28.8002557320714	5.56979612400995	34.6177401998462	47.5889164364078	1	26.3345672448986
ANKRD55	1	1	11.170756608857	1	1	1
ANKS1A	5.95762496130842	17.9772395047792	1	9.46883468834688	1	23.2177786664889
ANO10	2.56675471828183	20.3216611605567	3.82711086232536	6.00312695434646	1	1
ANO6	9.63237522784877	59.7388711356941	14.5199572403447	8.50469043151971	1	27.2915758666162
ANO9	10.706725604748	1	15.9256765978371	1	1	20.5016011023442
ANPEP	3.88510624310812	58.2210005014368	1	1	1	15.8683408418454
ANTXR2	6.81635162597525	20.7754858189188	10.2127873298817	1	43.1504510195789	1
AOAH	79.3783091978455	81.9685278371804	4.50766424637834	48.9069989378418	1	75.6909941803392
AP000476.1	1	1	2.61498708010336	1	1	18.3802036273288
AP000783.1	1	3.28403163506862	1	1	6.19008693395616	18.3180352356187
AP001053.11	1	19.8248299069227	1	1	1	1
AP001189.4	4.36097602714963	34.8187097785534	8.14244900291412	1	1	14.6718482971713
AP003774.6	3.95180694589127	23.2377841226868	3.56460233276228	1	1	5.408646237
AP1AR	5.60820234644828	16.8501953131727	3.96252407050807	1	18.1008488031008	1
AP1S3	9.53125622814527	1	1	14.0107795491363	3.97220983801457	1
AP3M2	12.3734927223027	3.14122573277503	34.2006673505838	11.005227836717	1	5.408646237
AP5S1	7.95941594079798	3.05586635256678	5.92863767752291	1	1	31.9303129918211
APBA2	78.8691905266065	2.1792633613487	35.1657511828541	1	1	27.1548935401104
APBA3	8.0871070606579	9.1926490097677	15.9241819429639	14.0341776871218	47.282620305518	13.0957011877979
APITD1	7.88975845133373	1	1	6.95029126675751	7.18716163959784	1
