NAME	Cluster 1	Cluster 2	Cluster 3	Cluster 4	Cluster 5	Cluster 6	Cluster 7	Cluster 8
ACTN1	48.7269446558322	37.6623447029941	1	16.3569832994837	1	146.641539937065	1	1
ACTR6	1	25.1126543209877	53.6344477585084	9.603404478286	1	1	31.7219662058372	11.1230968577907
ACVR2A	1	1	1	18.1400994782083	1	12.5548160473285	28.9642058165548	1
ACVRL1	9.8904694167852	1	1	1	1	1	1	1
ACYP1	14.5135135135135	1	14.1482065846219	17.0044475524725	55.2724593121653	1	1	7.61191996932071
ADA	1	17.8964585022979	14.1898280046428	33.9085773476124	71.5353776119338	1	62.4439324116743	1
ADAL	5.70854129390715	1	23.19713879923	1	1	1	29.5306704707561	30.8708452784169
ADAM15	63.4812681592309	50.0987526576467	1	1	1	40.4599646916245	1	1
ADAM19	30.1163000178565	25.9575721273834	1	1	1	1	1	43.525156947849
ADAM28	20.7968723948783	1	1	6.40248514316587	1	1	1	168.455830343092
ADAM9	23.9425103374683	50.0198749242405	1	1	1	1	1	1
ADAMTS6	1	1	1	1	1	1	1	30.5735768811521
ADAMTSL4	1	20.3708352704169	1	1	1	17.8372844827586	1	1
ADAP1	17.562531518596	28.9524807826694	13.0843000773395	4.81606563632893	1	41.1734181521322	1	1
ADAP2	23.5238580665927	18.3801206180371	1	1	1	46.2290893321325	1	1
ADARB1	1	16.653861807708	13.0843000773395	23.7714745036683	1	14.504753673293	1	47.4233204419907
ADAT1	28.0270270270271	1	40.7869346814026	1	20.6664568911265	16.1607034566404	43.0875420875421	1
ADCK3	8.20211847680074	21.2498835631695	26.5049297416905	6.40248514316587	18.1232876712329	10.318622334874	91.3947095222381	1
ADCK5	1	1	1	6.40248514316587	20.6664568911265	1	1	8.98173778395033
ADIPOR2	1	22.8765723786397	17.8078526287482	11.7631040792164	40.5490292956806	10.6779188603283	80.283463521515	21.6135385346479
ADK	4.95820139328689	1	1	28.8153942961444	1	43.7263636531111	1	73.9326898194759
ADM	11.1050929668553	25.0188307633184	1	1	1	1	1	1
ADORA2A.AS1	1	1	23.6939873150607	1	1	1	1	1
ADPRH	1	1	1	1	1	22.1255703904005	1	20.5882548823725
ADPRHL2	5.70013160368491	1	10.4977585289872	11.9461904135125	79.1671946967657	1	43.0875420875421	12.7317190487922
ADPRM	5.30811649146993	21.5761316872428	1	35.9683590070972	1	1	31.7219662058372	32.0120244799846
ADRB2	11.5507491031863	1	35.2874180083482	1	174.893343105296	24.8805981037464	43.0875420875421	1
ADRBK2	59.1563163065712	131.126089250901	1	1	1	43.7093750413959	1	66.3725840605227
ADTRP	1	1	1	67.0624723552026	1	1	1	1
AEN	1	1	42.8204553644085	38.5856077650614	30.9375218431039	1	1	41.4554907386351
AFAP1L2	1	1	1	1	1	1	1	10.1610326315982
AFF3	15.0132643786925	1	1	9.16193274567417	1	12.6680668346868	1	77.6844334762646
AGA	16.2114390021296	1	12.3936742320664	27.2505362015063	67.3552687661521	12.1368496079829	61.3741396071271	1
AGAP2	1	1	66.1363539919656	4.81606563632893	15.6575984990619	12.6680668346868	1	1
AGAP8	10.3370681605976	1	1	1	21.8125208125208	1	1	1
AGER	4.8717670744928	1	18.9907887161773	1	20.4825436408978	1	1	1
AGFG1	74.0289539595582	191.986802875085	1	6.37721137817927	16.3073720303698	215.008764422045	1	1
AGK	9.8904694167852	1	10.9585723390695	21.6937027671306	1	12.6680668346868	83.2320623605248	11.9192954870552
AGL	10.7238428626994	25.1126543209877	32.2604277819947	1	21.3252032520325	1	40.1389432485323	1
AGMAT	1	1	1	24.1817297000509	1	1	1	1
AGO2	4.21543408360129	1	26.1687074190944	1	15.6575984990619	1	1	1
AGPAT4	1	25.0188307633184	1	1	21.8125208125208	1	1	1
AGPAT5	1	1	1	6.37721137817927	1	16.4549950544016	43.0875420875421	25.8716328509577
AGPAT9	29.8025751450869	33.4033569877839	1	1	1	22.1255703904005	1	1
AHDC1	1	1	1	7.48887158523133	1	33.6151242379654	1	1
AHI1	1	1	1	8.70712909441233	1	1	1	14.9440842222687
AHR	71.3282115489183	76.9807697087289	1	22.6284218266504	1	149.275689290266	1	16.1894888736994
AIF1	1189.1074579265	1536.20693017431	25.7143900035798	108.292282769964	16.7908034360788	835.127705548516	40.7298371076679	46.1550175404158
AIM2	1	18.3801206180371	1	1	18.8062678062678	1	1	40.2724400570367
AK1	1	1	1	22.6599113146964	21.3252032520325	1	1	1
AK9	10.3370681605976	1	1	22.3675213675214	16.7908034360788	1	66.5562114139913	16.7262376549034
AKAP11	1	1	10.4977585289872	14.4898151895319	1	1	1	16.1894888736994
AKAP8	12.6686114352392	1	11.4611264540966	21.2142712755205	1	19.637244669748	69.5482809117025	25.8633797093239
AKIP1	27.7880479183577	1	15.2207053469852	8.67856080820997	39.6187886187886	1	1	1
AKR1C3	1	1	1	4.81606563632893	1	1	201.927541677472	1
AL591479.1	4.24485690181063	22.9934899269816	13.1583503550238	1	56.7420762900215	1	40.7298371076679	32.4524753098069
AL592284.1	13.5525022441988	1	91.3599932311247	38.1474778580973	1	15.5619757688724	60.5199016196473	39.8096500642256
AL645728.1	1	1	17.8078526287482	1	1	1	1	1
AL928768.3	14.6054421768708	1	1	1	1	1	1	209.868194407366
ALDH1A1	70.2744627474065	60.5239241133293	1	1	1	101.00673058528	1	1
ALDH2	217.323154056289	220.999532373794	1	1	1	67.5915853514757	29.8184438040346	1
ALDH3A2	24.1346969891444	1	1	6.40248514316587	1	9.06191551112544	1	29.3417671011262
ALDH3B1	60.5668163541914	31.2136915426928	1	1	1	33.6151242379654	1	1
ALG1	4.95820139328689	1	1	21.2142712755205	35.2493091111876	1	1	15.1093474426808
ALG6	10.0810025426807	21.5761316872428	1	13.6839167935058	21.8125208125208	1	52.2557662737058	17.7319211591875
ALG8	18.3231960475723	1	17.0071712127033	5.1101520756268	1	16.4549950544016	52.2557662737058	8.96838146235738
ALKBH2	1	1	1	1	1	1	1	35.3013856158957
ALKBH6	1	1	12.8035882908404	8.27802037845706	1	1	40.1389432485323	1
ALOX5	124.028588323445	137.877951468525	1	1	1	109.340022019716	1	93.0861961230954
ALYREF	1	19.7339590475655	1	4.81606563632893	25.6159905474596	32.1715476057824	1	1
AMFR	22.945445524963	18.495057646215	13.6993802702428	1	15.8456057007126	73.6544325207023	1	1
AMICA1	361.761619845883	396.808452512673	16.6818466942667	26.7089341418703	1	237.842489364123	1	1
AMN1	1	1	1	7.6454013822435	41.8816639515474	1	43.0875420875421	39.4598689479784
AMZ2	22.9684453153156	1	72.1181666579173	33.1865957129748	36.8022365336013	23.823376008167	119.925379992994	21.7098126468186
ANAPC4	11.5196717862403	45.8698343467568	14.2527565733673	1	1	12.5548160473285	1	7.61191996932071
ANG	22.1136517493888	1	1	1	1	9.06191551112544	29.8184438040346	1
ANGEL2	9.42743974380585	1	17.0071712127033	20.3458628001851	1	1	1	1
ANK1	1	1	1	9.88346200807313	1	1	1	50.2460905680962
ANK3	1	1	1	17.6081188355018	1	1	1	1
ANKDD1A	12.0643947776057	1	1	15.4939948641298	19.9623786407767	1	1	1
ANKH	1	1	37.3542479733906	42.17435283163	38.9358084837537	1	1	1
ANKRD26	4.53281989684166	1	14.1898280046428	11.465724751439	1	1	1	1
ANKRD27	1	1	65.7186691185895	6.37721137817927	1	9.06191551112544	1	1
ANKRD36	21.7496139779199	1	42.1098927111082	104.385304353746	83.2038586315139	19.053148469093	81.5957847639232	8.34748458865109
ANKRD46	4.24485690181063	1	22.7722005405627	1	1	1	1	1
ANKRD50	12.6686114352392	38.4725901895407	1	1	1	79.8317062256033	1	1
ANKRD55	1	1	1	31.6053220782651	1	1	1	1
ANKS1A	4.53281989684166	38.2817735725269	1	5.74090930640497	1	19.053148469093	1	1
ANO6	63.3612977760157	33.0578711853422	1	1	1	117.12473779173	1	1
ANO9	1	1	14.1898280046428	27.6275365771426	1	1	1	1
ANPEP	55.7367465099465	113.037523787686	1	1	1	36.6875461592729	41.1445202729827	1
ANXA3	1	1	1	1	1	22.1255703904005	1	1
AP001055.6	25.6372187081116	1	1	6.40248514316587	1	9.06191551112544	1	8.35656536676157
AP001189.4	8.90513833992095	58.1737031481973	1	1	1	41.3095775556272	1	1
AP001258.4	1	1	1	23.7153321638647	25.6159905474596	1	1	15.593657753271
AP001372.2	1	1	1	8.12098554439934	1	22.1255703904005	1	1
AP001816.1	1	1	13.1583503550238	1	1	1	1	25.5308000112966
AP003774.6	32.0847793714585	1	1	1	1	16.4549950544016	1	1
AP1S3	1	1	10.9585723390695	1	1	1	1	14.1399138021655
AP3M2	14.5135135135135	1	1	28.6844101714083	1	12.5548160473285	1	1
AP4B1	1	24.6961209450013	24.1605067243394	6.37721137817927	1	10.318622334874	1	1
AP4E1	9.42743974380585	29.0549242804667	17.8078526287482	6.0673963717442	1	34.4105488239486	1	1
AP5B1	42.3294189482889	25.9575721273834	10.9585723390695	1	1	18.7398343714537	1	1
APAF1	66.0858255242222	122.089062982361	1	20.697254306185	16.7908034360788	44.2148146109783	1	1
APBA2	1	1	81.5452829465142	43.6689933137132	1	1	43.0875420875421	1
APBA3	1	24.2498663132687	1	9.92989154362523	16.2998776009792	19.637244669748	1	56.0983575065691
APBB1	1	1	26.5049297416905	23.5765257657533	18.1232876712329	1	1	1
APC	1	1	12.8136282014932	8.62253220519857	18.1232876712329	53.8323113201698	1	11.5867157890279
APEH	21.9454683875312	1	15.2207053469852	12.541055980091	88.8651230690262	1	29.8184438040346	1
APLP2	305.941089914596	451.605464006297	17.8078526287482	20.4511181913711	38.5532274724835	322.104505738138	1	62.7902596675407
APMAP	35.8529787895095	1	125.604057695832	21.565871122858	209.897109941074	1	125.89900416434	18.7550513120983
APOBEC3A	39.6943469170919	23.8060572888159	13.7032520325203	8.62253220519857	1	67.0273035353927	1	1
APOBEC3H	1	1	29.0914712900428	24.4261952909899	70.7347111491042	15.5619757688724	1	1
APP	67.2981239840346	1	1	29.8987760745556	1	101.160155550653	1	37.3629204517553
AQP3	1	1	13.7032520325203	113.379724845862	1	1	1	1
AQP9	55.225292458202	136.461191287861	1	1	1	98.2787250262472	1	1
ARAP2	22.2550882085869	1	67.1637284833092	12.641406782661	73.9075590326478	55.0196222034601	1	1
AREG	16.8328055731475	1	1	1	1	1	28.9642058165548	1
AREL1	10.0810025426807	1	1	1	1	28.0098111017301	1	10.1610326315982
ARHGAP18	9.8904694167852	1	37.7986900809193	6.40248514316587	1	33.7035187924013	1	1
ARHGAP24	44.2466250119992	23.8060572888159	1	1	1	35.1787073273263	1	275.922754754096
ARHGAP44	1	1	1	1	1	16.4549950544016	1	30.3921597234002
ARHGAP5	5.30811649146993	24.6961209450013	1	55.0842848870249	1	16.4549950544016	1	41.8581694570814
ARHGEF40	52.6471752985571	26.1610305958132	1	1	1	10.318622334874	1	1
ARHGEF7	5.70013160368491	1	12.8035882908404	1	21.8125208125208	1	1	35.9708145389411
ARHGEF9	1	1	43.7051787197571	1	1	1	52.2557662737058	30.4867703608905
ARID2	10.7238428626994	1	14.3333333333333	9.78811846383689	35.3494123271784	53.2318557964193	102.219669576655	11.9192954870552
ARID3A	49.0566721250197	52.9713115459879	1	11.7631040792164	16.7908034360788	79.1313947611619	1	13.1137236375089
ARID5B	5.70013160368491	1	59.2048280309766	133.607692906551	41.6546303617649	1	82.7807967987363	121.235474675153
ARL13B	1	1	1	1	1	1	68.6696137192884	11.1230968577907
ARL16	8.55297339328056	1	46.9351314304145	10.1224229155264	51.1771768485668	1	93.7204534799472	32.5257903068455
ARL4C	8.9145231499802	17.201678493892	236.751586740499	93.0179206889882	172.743734766877	32.0239045553433	321.655588421033	43.8310619789269
ARMCX5	4.95726157499011	1	1	9.603404478286	1	28.371770803967	1	1
ARRDC4	1	21.5761316872428	1	1	1	42.6850376579608	1	1
ARRDC5	1	1	28.0255541092861	9.0051232788985	19.9623786407767	1	1	24.1712266576497
ARSB	12.0643947776057	24.6961209450013	1	1	15.6575984990619	30.7740942777309	1	1
ARSD	23.77709824041	52.0528532963198	1	1	1	47.988502362421	1	1
ARSG	1	1	15.8069177919924	1	38.8163658761574	16.4549950544016	29.8184438040346	1
ARSK	1	1	30.2886918253603	14.4898151895319	1	1	41.1445202729827	1
ASB16.AS1	14.5135135135135	22.4583065104502	39.5588964210284	11.1347927434884	1	1	1	1
ASCC3	20.5840744035162	1	16.6818466942667	14.9958988932152	93.7136166293371	24.2228828820153	1	11.5984971331065
ASCL2	28.9556616936953	18.3801206180371	1	1	166.103721417777	20.616731558454	43.0875420875421	1
ASGR1	122.8336963076	205.886674198401	15.2207053469852	22.3675213675214	22.2152070604209	60.3113174869121	1	1
ASGR2	13.6156972909711	59.5051828732253	1	1	1	29.9544443428152	1	1
ASNS	1	1	1	11.9461904135125	1	1	1	1
ASPH	8.49102129012855	26.3678335870117	1	1	1	1	1	1
ASXL1	10.3370681605976	25.9575721273834	12.8035882908404	4.86249517188103	43.0277278729417	1	1	1
ATAD2B	5.70013160368491	1	13.6300899262403	8.92707094728497	1	59.8106628218803	1	1
ATAD3B	1	1	1	1	1	1	43.0875420875421	1
ATAD5	11.4975855553223	1	1	1	42.6250416250416	12.5548160473285	1	16.1894888736994
ATF7IP2	10.0082480951548	1	35.5573493721642	38.5136152052892	17.8372844827586	1	1	36.3630471137598
ATG14	1	1	11.4611264540966	1	22.2152070604209	27.1150639802184	40.1389432485323	1
ATG16L1	1	1	24.5817081406295	9.0051232788985	20.4825436408978	1	29.5306704707561	1
ATG2A	1	16.4449695734099	13.6993802702428	6.37721137817927	1	12.5548160473285	70.8609094543695	1
ATG2B	5.70013160368491	1	1	6.40248514316587	39.3384947316538	12.1368496079829	1	12.637108411302
ATG4B	10.8736176935229	58.3928570851082	18.7910617705665	71.0008174304868	34.3804290036692	19.637244669748	1	40.1461212758831
ATG7	16.1004182363089	1	1	1	15.8456057007126	38.9628548731591	1	1
ATG9B	1	1	1	23.8181601261127	1	1	1	1
ATL2	1	1	1	19.5262745212951	15.6575984990619	1	1	11.5984971331065
ATP10D	1	1	1	1	1	1	1	19.5855347426094
ATP1A3	1	1	1	1	30.9537316366047	1	28.9642058165548	1
ATP2B4	4.53281989684166	17.0751028806584	28.1523249225684	23.8181601261127	88.0486012628358	1	108.24766933807	1
ATP6V1E2	8.90513833992095	1	36.2070997342679	8.81372089388967	21.3252032520325	1	1	1
ATP8A1	4.53281989684166	1	17.8078526287482	6.37721137817927	39.9472786996396	9.06191551112544	100.27024711754	9.84947920814862
ATP8B2	1	1	17.8078526287482	24.2551139183724	18.1232876712329	1	1	1
ATXN1L	12.1603198700876	1	58.3826339043445	8.1301247771836	1	44.685927306617	52.2557662737058	1
ATXN2L	16.5412935280926	1	1	12.5874855156431	16.3073720303698	27.1150639802184	84.0178375003972	26.9004763047585
ATXN7L3	19.0726451795208	20.3708352704169	1	1	39.1314710583003	15.5619757688724	1	1
AUH	49.3809481253452	1	14.2696390658174	1	1	12.5548160473285	1	11.5867157890279
AUTS2	4.95726157499011	1	31.5637676722169	1	61.0861098590424	12.6680668346868	1	8.35656536676157
B3GALTL	1	1	1	1	41.2950644534186	1	1	1
B3GAT2	4.95726157499011	1	59.2666708135991	40.4005127080111	1	12.6680668346868	1	10.8794704603833
B3GNT1	1	1	1	9.06126561870213	1	1	40.1389432485323	1
B3GNT6	1	1	1	1	1	1	1	14.9440842222687
B3GNT7	1	1	13.6300899262403	1	1	1	68.6940429242227	1
B3GNTL1	12.1534812896748	1	1	4.81606563632893	1	1	1	1
B4GALNT3	1	1	10.1615362063911	1	18.8062678062678	1	40.1389432485323	1
B4GALT4	15.5089504964732	1	53.9822025906018	11.9370511807283	16.3073720303698	1	53.2193211488251	14.2569731678863
B4GALT7	4.95726157499011	1	29.2428145171669	9.0051232788985	16.3073720303698	1	1	1
BACE2	1	1	1	1	1	1	1	45.3346802415305
BACH1	91.8666872441402	129.309298467194	17.8078526287482	15.7102088849662	1	127.316062368286	1	1
BACH2	1	1	1	25.0316663385937	1	1	40.7298371076679	73.1961548553099
BAG2	9.4717045069468	1	1	1	15.6575984990619	1	24.4686693264492	23.5369734623505
BAG4	5.70013160368491	22.9934899269816	1	5.74090930640497	1	1	1	1
BAHD1	10.3370681605976	1	18.1892189218922	1	22.2152070604209	1	1	1
BAIAP2.AS1	11.5196717862403	17.7892280312951	13.0843000773395	1	1	44.2603883855266	1	1
BAK1	14.637912863697	1	48.4772460129911	24.3761983994799	73.8773003971081	9.06191551112544	1	26.691123606764
BANK1	1	1	1	1	1	1	1	377.601963610064
BAP1	8.90513833992095	40.4901665897932	1	1	1	12.5548160473285	1	1
BARD1	10.2729970326409	1	1	5.189710072063	18.1232876712329	1	1	28.5699926663229
BASP1	59.8483101522741	174.44557943459	1	1	1	53.2996301717329	1	80.3055654091061
BATF3	26.7600303392953	1	1	1	1	9.06191551112544	1	1
BBC3	9.26631788475682	24.6961209450013	1	96.1181511633245	114.419113087307	1	1	22.196994266213
BBS10	1	26.1610305958132	1	1	1	27.1167918162009	1	1
